id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie
51108112000001;511081120;1;;Rue Ernest Dagonet;51000;51108;Châlons-en-Champagne;;;799109.44;6873630.95;4.35337;48.954993;;;CHALONS EN CHAMPAGNE;RUE ERNEST DAGONET;commune;commune
51108114000002;511081140;2;;Rue de l’Etang Lavalette;51000;51108;Châlons-en-Champagne;;;800935.02;6872590.8;4.378046;48.945357;;;CHALONS EN CHAMPAGNE;RUE DE L ETANG LAVALETTE;commune;commune
51108114300001;511081143;1;;Rue Ethel et Julius Rosenberg;51000;51108;Châlons-en-Champagne;;;800966.33;6871485.48;4.37821;48.935414;;;CHALONS EN CHAMPAGNE;RUE ETHEL ET JULIUS ROSENBERG;commune;commune
51108115500001;511081155;1;;Rue Etienne Mehul;51000;51108;Châlons-en-Champagne;;;799908.74;6876196.27;4.364888;48.977934;;;CHALONS EN CHAMPAGNE;RUE ETIENNE MEHUL;commune;commune
51108118000001;511081180;1;;Rue Eustache de Conflans;51000;51108;Châlons-en-Champagne;;;799839.81;6873582.34;4.36333;48.954443;;;CHALONS EN CHAMPAGNE;RUE EUSTACHE DE CONFLANS;commune;commune
51108120500001;511081205;1;;Rue du Faubourg Saint-Antoine;51000;51108;Châlons-en-Champagne;;;799498.45;6874332.99;4.358846;48.961245;;;CHALONS EN CHAMPAGNE;RUE DU FAUBOURG SAINT ANTOINE;commune;commune
51108121000002;511081210;2;;Rue du Faubourg Saint-Jean;51000;51108;Châlons-en-Champagne;;;800563.12;6873494.56;4.373184;48.953541;;;CHALONS EN CHAMPAGNE;RUE DU FAUBOURG SAINT JEAN;commune;commune
51108122000001;511081220;1;;Rue du Flocmagny;51000;51108;Châlons-en-Champagne;;;800113.85;6873957.45;4.36716;48.957773;;;CHALONS EN CHAMPAGNE;RUE DU FLOCMAGNY;commune;commune
51108127000001;511081270;1;;Rue François;51000;51108;Châlons-en-Champagne;;;799845.22;6873740.15;4.363441;48.955861;;;CHALONS EN CHAMPAGNE;RUE FRANCOIS;commune;commune
51108127400002;511081274;2;;Rue des Francs;51000;51108;Châlons-en-Champagne;;;800531.02;6874750.48;4.373044;48.964838;;;CHALONS EN CHAMPAGNE;RUE DES FRANCS;commune;commune
51108127200002;511081272;2;;Rue Frédéric Chopin;51000;51108;Châlons-en-Champagne;;;801087.86;6874814.46;4.380663;48.965326;;;CHALONS EN CHAMPAGNE;RUE FREDERIC CHOPIN;commune;commune
